"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_CUI_CPT-9019S-SMT"
"C1","1","0.1uF","","","","Capacitor_SMD:C_0504_1310Metric_Pad0.83x1.28mm_HandSolder"
"D1","1","GREEN","","","","LED_SMD:LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder"
"D3","1","CLV1L-FKB","","","","LED_SMD:LED_Cree-PLCC4_3.2x2.8mm_CCW"
"H1,H2","2","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3"
"J2","1","Conn_01x04","","","","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical"
"R1,R3","2","1k","","","","Resistor_SMD:R_0201_0603Metric_Pad0.64x0.40mm_HandSolder"
"R2","1","4K7","","","","Resistor_SMD:R_0201_0603Metric_Pad0.64x0.40mm_HandSolder"
"R5,R6,R7","3","220","","","","Resistor_SMD:R_0201_0603Metric_Pad0.64x0.40mm_HandSolder"
"SW2","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_B3U-1000P"
"U1","1","MOUDLE-SEEEDUINO-XIAO-ESP32C3","","","","xiao ESP32C3_PCB:MOUDLE14P-SMD-2.54-21X17.8MM"
"U2","1","HALL SENSOR","","","","Package_TO_SOT_THT:TO-92_Inline"
